Age,Gender,Education Level,How often do you engage in social activities?,How satisfied are you with your current social relationships?,Do you feel supported by your peers and family?,How would you rate your overall physical health?,Do you have any chronic physical health conditions?,How often do you engage in physical exercise?,How often do you feel stressed or overwhelmed?,Have you ever sought help for mental health issues?,"If yes, how often?",How would you rate your overall mental well-being?,Have you experienced significant stress or anxiety in the past month?,Do you have access to mental health resources?,Rate the level of mental health support at your institution.,How do you usually cope with stressful situations?,Do you feel confident in handling emotional challenges?,How often do you feel hopeful about the future?,Rate your ability to recover from emotional challenges.,Do you feel emotionally supported by your peers and faculty?,Do you feel your coursework is manageable? ,How do you perceive your academic performance?,Does your mental and physical health affect your studies?,What support do you think would improve your academic success?,How satisfied are you with your academic experience? ,How would you rate the quality of teaching at your institution?,What improvements would you suggest for student well-being services?,Additional comments or feedback
18-24,Female,Undergraduate,Weekly,4,Yes,8,No,Daily,4,Yes,5,8,Yes,Yes,2,Exercise ,Yes,7,4,Yes,Yes,Acceptable ,Yes,Emotional and financial support,4,3,,
18-24,Female,Undergraduate,Weekly,3,No,7,No,Rarely,3,Yes,1,6,Yes,Yes,1,.,Yes,5,3,Yes,Yes,.,Yes,.,1,2,,
18-24,Female,Undergraduate,Weekly,4,Yes,7,No,Rarely,3,No,,6,No,Yes,3,cry?,No,5,4,No,Yes,fine,Yes,better teaching conditions ,3,2,,
18-24,Male,Undergraduate,Weekly,5,Yes,9,No,Daily,2,No,,10,No,No,1,I don't care about it when i'm up to something,Yes,10,5,Yes,Yes,I'm dealing with it so smoothly without worries,Yes,Better academic conditions,4,3,Teachers with a great knowledge in pedagogy and more practice.,Good luck.
18-24,Female,Graduate,Weekly,4,Yes,7,No,Monthly,3,No,,10,Yes,No,1,Sleep is my escape,Yes,8,3,Yes,Yes,Good,Yes,Reducing study hours,3,3,,
18-24,Female,Undergraduate,Weekly,2,Yes,7,No,Weekly,4,Yes,3,5,Yes,Yes,2,self talk,Yes,9,4,No,No,bad and not enjoyable ,Yes,emotional,2,2,they can do campaigns ,
18-24,Female,Undergraduate,Daily,4,Yes,8,No,Weekly,1,No,,9,Yes,Yes,1,.,Yes,8,4,No,No,.,Yes,.,3,3,,
18-24,Female,Undergraduate,Monthly,3,Yes,4,No,Rarely,4,No,,4,Yes,No,2,sleep ,No,7,4,No,Yes,  ,Yes,  ,4,3,,
18-24,Male,Undergraduate,Weekly,5,Yes,8,No,Daily,1,No,,9,No,No,3,By relaxing ang going to gym,Yes,8,5,Yes,No,Good,No,Friends and family,4,3,,
18-24,Male,Undergraduate,Weekly,4,Yes,9,No,Weekly,1,No,,10,No,Yes,3,I realize that stressing about the situation is only gonna worsen the end game and that i'm gonna get over it now or later so better get over it now,Yes,10,5,Yes,Yes,"I've always excelled without needing to study particularly hard , but that stopped working in college so most my grades are average , now that i realized that tho i hope i start taking things more seriously",No,"I think it's natural to be distracted from your studies if you constantly have problems on your mind , and no amount of support can make these problems go away other than the will to only worry about what you can change and focus on the future",4,4,Make information more accessible. I'm in my third year and i only now realized than there's a psychologist at our university. It feels like every piece of information a student might need is hidden behind layers and layers of bad website design for instance ,
18-24,Male,Undergraduate,Daily,4,No,9,No,Weekly,2,No,,8,Yes,No,3,"Breath slowly, remain calm and think lf a solution",Yes,9,4,Yes,No,I think the professors do not have the pedagogy to teach and pass the information clearly,Yes,May be the state of the faculty and the environment of study ,3,2,May be rely more on yourself and improve yourself step by step without any hope from the faculty or university build your own way to success ,Thankss for the experience i feel relieved now 
